b_h,ARIMA,Croston,Hybrid cls-reg,Partner annual,Naive,Random Forest,SBA,SES,TSB,XGBoost (Tweedie)
2,196.5,224.8,220.4,100.0,399.1,238.2,204.2,167.8,191.0,98.0
5,194.5,222.5,219.8,100.0,395.0,236.1,202.1,166.8,190.0,100.1
10,191.3,218.8,218.7,100.0,388.4,232.7,198.8,165.1,188.3,103.6
20,185.3,211.8,216.7,100.0,375.8,226.2,192.4,161.8,185.1,110.1
50,169.2,193.2,211.4,100.0,342.6,209.1,175.5,153.2,176.7,127.3
