Unit,Model,SL,ratio,lots,markup,term_k,eval_end,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,croston,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,226040.00850859206,0.0,2712480.102103105,525300.0,249667.6344732165,0.0
BR_1.0-1.5,hybrid,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,221982.04948544115,0.0,2663784.5938252937,525300.0,188711.2161521078,0.0
BR_1.0-1.5,hybrid,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,221982.04948544115,0.0,2663784.5938252937,525300.0,188711.2161521078,0.0
BR_1.0-1.5,hybrid,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,221982.04948544115,0.0,2663784.5938252937,525300.0,188711.2161521078,0.0
BR_1.0-1.5,hybrid,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,221982.04948544115,0.0,2663784.5938252937,525300.0,188711.2161521078,0.0
BR_1.0-1.5,hybrid,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,221982.04948544115,0.0,2663784.5938252937,525300.0,188711.2161521078,0.0
BR_1.0-1.5,hybrid,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,213081.38873242456,0.0,2556976.6647890946,525300.0,176863.84030488622,0.0
BR_1.0-1.5,hybrid,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,282836.5850229202,0.0,3394039.020275043,525300.0,237053.25168958696,0.0
BR_1.0-1.5,hybrid,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,282836.5850229202,0.0,3394039.020275043,525300.0,237053.25168958696,0.0
BR_1.0-1.5,hybrid,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,282836.5850229202,0.0,3394039.020275043,525300.0,237053.25168958696,0.0
