segment,ARIMA,Croston,Hybrid cls-reg,Partner annual,Naive,Random Forest,SBA,SES,TSB,XGBoost (Tweedie)
erratic,247.5,249.2,305.0,100.0,490.0,281.0,216.1,197.9,255.3,76.2
intermittent,143.2,175.3,134.3,100.0,289.3,154.7,166.5,121.7,129.6,101.7
lumpy,171.2,241.9,141.3,100.0,521.2,263.2,220.0,166.0,188.1,128.6
smooth,327.2,350.7,514.4,100.0,560.8,490.4,304.1,308.4,338.5,148.2
